full,short,type
16S ribosomal RNA,16S,rna
23S ribosomal RNA,23S,rna
ATP synthase subunit beta,atpD,cds
chaperonin GroEL,groL,cds
RNA polymerase subunit beta,rpoB,cds
elongation factor Tu,tuf,cds
